0,name                                                                                                                                                                                                    ,
1,surname                                                                                                                                                                                                 ,
2,N@N.pl                                                                                                                                                                                                  ,
2,N@N.pl                                                                                                                                                                                                  ,
3,1545133523                                                                                                                                                                                              ,
3,(154)5133523                                                                                                                                                                                            ,
4,NNNNNNNN                                                                                                                                                                                                ,
5,NNNN                                                                                                                                                                                                    ,
7,12345                                                                                                                                                                                                   ,
9,NNNNNNNNNN                                                                                                                                                                                              ,
9,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN
